date,year,month,day,day_of_week,week_of_year,quarter,is_weekend,is_holiday,days_to_nearest_holiday,season,is_flu_season,flu_activity_index,is_allergy_season,baidu_flu_index,is_vbp_period,days_since_vbp1,days_since_vbp2
2020-01-01,2020,1,1,2,1,1,0,0,23,winter,1,2.02,0,1993,0,-1,-1
2020-01-02,2020,1,2,3,1,1,0,0,22,winter,1,1.74,0,2122,0,-1,-1
2020-01-03,2020,1,3,4,1,1,0,0,21,winter,1,2.09,0,2106,0,-1,-1
2020-01-04,2020,1,4,5,1,1,1,0,20,winter,1,2.49,0,2573,0,-1,-1
2020-01-05,2020,1,5,6,1,1,1,0,19,winter,1,1.69,0,2095,0,-1,-1
2020-01-06,2020,1,6,0,2,1,0,0,18,winter,1,1.69,0,1581,0,-1,-1
2020-01-07,2020,1,7,1,2,1,0,0,17,winter,1,2.51,0,2367,0,-1,-1
2020-01-08,2020,1,8,2,2,1,0,0,16,winter,1,2.15,0,2159,0,-1,-1
2020-01-09,2020,1,9,3,2,1,0,0,15,winter,1,1.59,0,1614,0,-1,-1
2020-01-10,2020,1,10,4,2,1,0,0,14,winter,1,2.04,0,2482,0,-1,-1
2020-01-11,2020,1,11,5,2,1,1,0,13,winter,1,1.59,0,1602,0,-1,-1
2020-01-12,2020,1,12,6,2,1,1,0,12,winter,1,1.59,0,1661,0,-1,-1
2020-01-13,2020,1,13,0,3,1,0,0,11,winter,1,1.91,0,2068,0,-1,-1
2020-01-14,2020,1,14,1,3,1,0,0,10,winter,1,0.94,0,1011,0,-1,-1
2020-01-15,2020,1,15,2,3,1,0,0,9,winter,1,1.02,0,1240,0,-1,-1
2020-01-16,2020,1,16,3,3,1,0,0,8,winter,1,1.55,0,1801,0,-1,-1
2020-01-17,2020,1,17,4,3,1,0,0,7,winter,1,1.34,0,3163,0,-1,-1
2020-01-18,2020,1,18,5,3,1,1,0,6,winter,1,1.94,0,2034,0,-1,-1
2020-01-19,2020,1,19,6,3,1,1,0,5,winter,1,1.39,0,1507,0,-1,-1
2020-01-20,2020,1,20,0,4,1,0,0,4,winter,1,1.16,0,1129,0,-1,-1
2020-01-21,2020,1,21,1,4,1,0,0,3,winter,1,2.46,0,2532,0,-1,-1
2020-01-22,2020,1,22,2,4,1,0,0,2,winter,1,1.7,0,2210,0,-1,-1
2020-01-23,2020,1,23,3,4,1,0,0,1,winter,1,1.83,0,1968,0,-1,-1
2020-01-24,2020,1,24,4,4,1,0,1,0,winter,1,1.16,0,1472,0,-1,-1
2020-01-25,2020,1,25,5,4,1,1,0,1,winter,1,1.56,0,1883,0,-1,-1
2020-01-26,2020,1,26,6,4,1,1,0,2,winter,1,1.85,0,1726,0,-1,-1
2020-01-27,2020,1,27,0,5,1,0,0,3,winter,1,1.28,0,1866,0,-1,-1
2020-01-28,2020,1,28,1,5,1,0,0,4,winter,1,1.97,0,2116,0,-1,-1
2020-01-29,2020,1,29,2,5,1,0,0,5,winter,1,1.53,0,2050,0,-1,-1
2020-01-30,2020,1,30,3,5,1,0,0,6,winter,1,1.67,0,1688,0,-1,-1
2020-01-31,2020,1,31,4,5,1,0,0,7,winter,1,1.53,0,2087,0,-1,-1
2020-02-01,2020,2,1,5,5,1,1,0,8,winter,1,2.63,0,2762,0,-1,-1
2020-02-02,2020,2,2,6,5,1,1,0,9,winter,1,1.79,0,2046,0,-1,-1
2020-02-03,2020,2,3,0,6,1,0,0,10,winter,1,1.32,0,1606,0,-1,-1
2020-02-04,2020,2,4,1,6,1,0,0,11,winter,1,2.17,0,2186,0,-1,-1
2020-02-05,2020,2,5,2,6,1,0,0,12,winter,1,1.25,0,1741,0,-1,-1
2020-02-06,2020,2,6,3,6,1,0,0,13,winter,1,1.89,0,2043,0,-1,-1
2020-02-07,2020,2,7,4,6,1,0,0,14,winter,1,0.92,0,841,0,-1,-1
2020-02-08,2020,2,8,5,6,1,1,0,15,winter,1,1.2,0,1238,0,-1,-1
2020-02-09,2020,2,9,6,6,1,1,0,16,winter,1,1.89,0,1974,0,-1,-1
2020-02-10,2020,2,10,0,7,1,0,0,17,winter,1,2.13,0,2268,0,-1,-1
2020-02-11,2020,2,11,1,7,1,0,0,18,winter,1,1.88,0,1990,0,-1,-1
