sku_id,channel,nonzero_ratio,croston_forecast,sba_forecast,rmse_croston,rmse_sba,mae_croston,mae_sba,mape_croston,mape_sba
SKU-0002,total,1.0,11.2916,10.727,4.0153,4.0644,3.2772,3.0542,28.47,25.08
SKU-0002,hospital,1.0,4.0077,3.8073,1.7518,1.7698,1.4414,1.3723,35.37,31.87
SKU-0002,chain,1.0,3.8497,3.6572,1.4976,1.5165,1.2259,1.1602,31.15,27.89
SKU-0002,independent,1.0,3.4342,3.2625,0.8189,0.8283,0.6425,0.5593,18.86,15.49
SKU-0003,total,1.0,8.812,8.3714,3.4169,3.3331,3.085,2.8938,43.33,39.0
SKU-0003,hospital,1.0,2.6362,2.5044,0.837,0.8134,0.7515,0.6882,31.9,27.9
SKU-0003,chain,1.0,3.3153,3.1496,1.4539,1.4108,1.3415,1.2618,54.18,49.07
SKU-0003,independent,0.988,2.8604,2.7174,1.1943,1.1796,1.0433,0.9885,38.82,35.0
SKU-0005,total,1.0,53.429,50.7575,22.7448,22.8972,20.2139,19.1474,40.42,36.4
SKU-0005,hospital,1.0,18.3549,17.4371,7.6612,7.7,6.8446,6.4768,40.22,36.21
SKU-0005,chain,1.0,22.0207,20.9197,9.5046,9.5927,8.3552,7.9156,39.6,35.63
SKU-0005,independent,1.0,13.0533,12.4007,5.609,5.6337,5.0159,4.7549,42.71,38.58
SKU-0006,total,1.0,29.6549,28.1722,15.7614,15.9438,13.1461,12.5082,43.76,39.42
SKU-0006,hospital,1.0,8.5394,8.1124,4.6208,4.6649,3.9065,3.7228,45.58,41.15
SKU-0006,chain,1.0,14.0573,13.3544,7.4417,7.5184,6.2591,5.9568,44.54,40.16
SKU-0006,independent,1.0,7.0583,6.7053,3.7319,3.7934,2.9807,2.8401,41.45,37.38
SKU-0007,total,1.0,28.1123,26.7067,13.6091,14.0568,10.5471,10.1139,31.03,27.94
SKU-0007,hospital,1.0,11.6822,11.0981,5.9842,6.1936,4.4888,4.3258,30.16,27.25
SKU-0007,chain,1.0,9.0264,8.5751,4.471,4.6427,3.2533,3.1289,28.41,25.62
SKU-0007,independent,1.0,7.4037,7.0335,3.2774,3.3321,2.8241,2.6993,37.69,34.12
SKU-0008,total,1.0,58.0193,55.1183,19.5331,19.1078,18.3961,17.1177,36.79,32.74
SKU-0008,hospital,1.0,17.35,16.4825,5.8915,5.7413,5.5791,5.1978,37.92,33.83
SKU-0008,chain,1.0,26.4374,25.1156,8.9842,8.8162,8.4084,7.8277,36.45,32.43
SKU-0008,independent,1.0,14.2319,13.5203,4.6944,4.588,4.4087,4.0942,36.49,32.45
SKU-0009,total,1.0,12.4452,11.8229,5.8612,5.8058,5.2766,5.0288,50.69,46.17
SKU-0009,hospital,1.0,4.7365,4.4997,2.3335,2.3174,2.0761,1.9824,51.25,46.71
SKU-0009,chain,1.0,4.378,4.1591,1.8449,1.8228,1.6558,1.5667,43.32,39.12
SKU-0009,independent,0.994,3.3307,3.1642,1.718,1.7009,1.5487,1.4822,55.4,50.65
SKU-0010,total,1.0,16.5781,15.7492,6.8033,6.8636,5.7468,5.3921,35.93,31.99
SKU-0010,hospital,1.0,5.2842,5.0199,2.0297,2.0356,1.7424,1.6287,36.89,32.9
SKU-0010,chain,1.0,5.7918,5.5022,2.4571,2.5011,1.9547,1.8323,35.67,31.77
SKU-0010,independent,1.0,5.5021,5.227,2.3736,2.3823,2.0513,1.9329,38.18,34.12
SKU-0011,total,1.0,39.4682,37.4947,17.7158,17.6584,16.3307,15.5716,48.5,44.15
SKU-0011,hospital,1.0,16.7004,15.8654,7.6569,7.6224,7.0885,6.7681,51.24,46.76
SKU-0011,chain,1.0,15.5749,14.7962,7.1382,7.1329,6.5249,6.2261,48.75,44.39
SKU-0011,independent,1.0,7.1928,6.8331,2.9431,2.9247,2.7208,2.5807,42.98,38.88
SKU-0013,total,1.0,34.3458,32.6285,11.2523,11.794,8.1895,7.8127,20.98,18.85
SKU-0013,hospital,1.0,8.9698,8.5213,2.9405,3.0843,2.0973,2.0747,21.05,19.75
SKU-0013,chain,1.0,16.6022,15.7721,5.5116,5.7632,4.055,3.8451,21.76,19.42
SKU-0013,independent,1.0,8.7738,8.3351,2.8519,2.9961,2.107,2.0815,20.86,19.53
SKU-0015,total,1.0,11.9616,11.3635,7.1548,7.3816,4.8682,4.6874,29.68,26.68
SKU-0015,hospital,1.0,4.8171,4.5762,2.9718,3.0706,1.9921,1.9996,30.61,29.23
SKU-0015,chain,1.0,4.6598,4.4268,2.5179,2.5994,1.7572,1.6732,29.93,26.63
SKU-0015,independent,1.0,2.4847,2.3605,1.7229,1.7672,1.2182,1.1807,33.91,30.71
SKU-0016,total,1.0,31.8713,30.2778,10.3555,10.591,9.1216,8.7026,30.18,27.35
SKU-0016,hospital,1.0,9.2906,8.826,3.0185,3.0913,2.6124,2.4906,30.26,27.44
SKU-0016,chain,1.0,14.32,13.604,4.5585,4.6044,4.1422,3.9522,31.84,28.93
SKU-0016,independent,1.0,8.2607,7.8477,2.8665,2.9761,2.3741,2.2705,27.95,25.3
SKU-0017,total,1.0,69.6335,66.1518,23.1477,24.303,17.7609,17.1821,23.64,21.64
SKU-0017,hospital,1.0,26.3886,25.0691,8.8336,9.28,6.7564,6.5343,23.49,21.48
SKU-0017,chain,1.0,29.1631,27.705,9.7103,10.1994,7.4189,7.2365,23.46,21.67
SKU-0017,independent,1.0,14.0818,13.3777,4.6329,4.8511,3.5919,3.4641,24.61,22.47
SKU-0018,total,1.0,33.7618,32.0737,8.1445,8.778,5.761,5.8147,15.78,15.17
SKU-0018,hospital,1.0,13.1113,12.4557,3.1919,3.4334,2.2813,2.3321,15.87,15.47
SKU-0018,chain,1.0,12.4458,11.8235,3.0388,3.2748,2.1976,2.2176,16.52,15.88
SKU-0018,independent,1.0,8.2047,7.7945,1.9779,2.1293,1.3422,1.3958,15.48,15.42
SKU-0019,total,1.0,14.4446,13.7224,3.4401,3.3498,2.904,2.629,23.45,20.38
SKU-0019,hospital,1.0,5.1337,4.877,1.2407,1.2091,1.0057,0.9385,24.8,22.28
SKU-0019,chain,1.0,5.1337,4.877,1.2407,1.2091,1.0057,0.9385,24.8,22.28
SKU-0019,independent,1.0,4.1772,3.9683,1.1592,1.1368,0.9356,0.8505,26.15,22.83
SKU-0020,total,1.0,13.899,13.2041,6.1325,6.252,4.8372,4.5706,33.68,30.08
SKU-0020,hospital,1.0,5.2324,4.9707,2.6161,2.6632,2.0775,1.9787,38.53,34.71
SKU-0020,chain,1.0,5.2224,4.9613,2.5239,2.5679,2.0175,1.9194,38.02,34.25
SKU-0020,independent,1.0,3.4443,3.2721,1.0562,1.0818,0.805,0.7296,23.17,19.82
SKU-0022,total,1.0,11.6593,11.0763,6.6165,6.7007,5.4116,5.1676,45.16,40.81
SKU-0022,hospital,1.0,4.1196,3.9137,2.1158,2.1381,1.77,1.6829,42.62,38.37
SKU-0022,chain,1.0,4.3977,4.1778,2.5394,2.5633,2.1277,2.0357,48.95,44.41
SKU-0022,independent,0.996,3.142,2.9849,2.0306,2.0654,1.5148,1.4569,42.75,38.8
SKU-0023,total,1.0,6.7278,6.3914,2.0721,2.1482,1.4204,1.2861,19.26,16.3
SKU-0023,hospital,1.0,2.159,2.051,0.5607,0.5855,0.354,0.2899,14.04,10.37
SKU-0023,chain,1.0,2.3081,2.1927,0.8535,0.8825,0.6153,0.5692,22.27,19.16
SKU-0023,independent,0.988,2.2607,2.1477,0.7272,0.7468,0.5052,0.45,17.8,14.5
SKU-0024,total,1.0,25.0803,23.8263,9.5603,9.4357,8.7208,8.1473,41.0,36.66
SKU-0024,hospital,1.0,7.1248,6.7685,2.6454,2.5861,2.4563,2.2934,44.68,40.16
SKU-0024,chain,1.0,12.1883,11.5789,4.6897,4.6597,4.185,3.9062,40.36,36.06
SKU-0024,independent,1.0,5.7672,5.4789,2.2587,2.223,2.0796,1.9477,41.25,36.9
SKU-0025,total,1.0,20.9259,19.8796,5.1417,5.3973,3.791,3.6143,18.41,16.65
SKU-0025,hospital,1.0,7.0598,6.7068,1.8585,1.9449,1.3677,1.3779,19.21,18.42
